Date,Open,High,Low,Close,Adj Close,Volume
2020-04-06,273.000000,275.500000,270.000000,275.500000,253.546234,56392754
2020-04-07,283.500000,284.000000,280.500000,283.000000,260.448486,48787346
2020-04-08,285.000000,285.500000,283.000000,285.000000,262.289185,37912826
2020-04-09,287.500000,288.000000,282.500000,283.000000,260.448486,27620430
2020-04-10,280.000000,282.000000,279.000000,279.500000,257.227417,27252858
2020-04-13,278.500000,281.500000,278.500000,278.500000,256.307190,22196596
2020-04-14,281.000000,285.500000,280.000000,285.000000,262.289185,48809688
2020-04-15,287.000000,288.500000,286.000000,287.500000,264.589966,55216434
2020-04-16,283.000000,288.500000,283.000000,286.500000,263.669647,47815280
2020-04-17,303.500000,308.500000,300.500000,306.500000,282.075928,116368201
2020-04-20,308.000000,309.000000,302.500000,304.000000,279.775146,41381669
2020-04-21,300.500000,301.500000,293.500000,295.000000,271.492279,61479357
2020-04-22,294.500000,295.000000,290.500000,294.000000,270.571991,42192580
2020-04-23,300.000000,300.000000,294.000000,295.500000,271.952454,39474478
2020-04-24,295.500000,297.000000,294.000000,294.000000,270.571991,26008090
2020-04-27,298.000000,298.500000,296.000000,298.000000,274.253265,38493406
2020-04-28,298.500000,298.500000,294.500000,296.500000,272.872803,37395165
2020-04-29,299.000000,301.500000,298.000000,299.000000,275.173523,44059301
2020-04-30,302.000000,305.000000,301.500000,304.500000,280.235260,55126085
2020-05-04,294.500000,296.500000,294.000000,295.000000,271.492279,71581861
2020-05-05,296.500000,298.000000,295.000000,295.500000,271.952454,23547405
2020-05-06,294.500000,296.000000,292.500000,296.000000,272.412628,34240479
2020-05-07,294.500000,299.000000,294.500000,297.500000,273.793091,27621198
2020-05-08,300.000000,300.000000,296.000000,297.500000,273.793091,32295893
2020-05-11,300.000000,301.500000,298.500000,301.000000,277.014160,28727019
2020-05-12,297.500000,298.500000,295.000000,295.000000,271.492279,52089788
2020-05-13,293.000000,297.000000,292.500000,297.000000,273.332977,26156418
2020-05-14,293.000000,295.000000,292.500000,293.000000,269.651672,34315948
2020-05-15,297.500000,298.500000,294.500000,298.000000,274.253265,42494804
2020-05-18,291.000000,293.500000,290.000000,290.000000,266.890686,84986065
2020-05-19,294.000000,294.000000,291.500000,291.500000,268.271149,51250214
2020-05-20,293.000000,294.000000,291.000000,294.000000,270.571991,32677994
2020-05-21,296.000000,298.000000,295.000000,297.500000,273.793091,30997468
2020-05-22,294.500000,295.000000,291.000000,292.000000,268.731384,40192923
2020-05-25,290.500000,293.000000,288.500000,292.000000,268.731384,26803223
2020-05-26,295.000000,297.500000,293.500000,295.500000,271.952454,33856481
2020-05-27,297.000000,298.000000,295.500000,296.500000,272.872803,23375959
2020-05-28,298.500000,298.500000,293.000000,294.000000,270.571991,28444568
2020-05-29,292.000000,292.500000,290.000000,292.000000,268.731384,79774181
2020-06-01,294.000000,296.500000,293.500000,295.500000,271.952454,35811214
2020-06-02,296.000000,297.500000,296.000000,296.500000,272.872803,24771587
2020-06-03,300.000000,301.000000,298.000000,301.000000,277.014160,65176337
2020-06-04,305.000000,306.000000,304.000000,306.000000,281.615723,46572451
2020-06-05,308.500000,312.000000,308.000000,311.500000,286.677460,42981262
2020-06-08,316.000000,319.000000,315.000000,318.000000,292.659546,50302921
2020-06-09,316.500000,319.000000,314.000000,319.000000,293.579803,36417082
2020-06-10,319.000000,324.000000,318.000000,322.500000,296.800873,39984259
2020-06-11,325.500000,327.000000,318.500000,320.500000,294.960327,50104255
2020-06-12,313.000000,317.500000,312.500000,316.000000,290.818878,45992918
